
Ejecutando benchmark...
=======================
Tamaño | Algoritmo | Tiempo (s) | GFLOPs
-------|-----------|------------|--------
256x256 | CPU      | 0.005751000 | 6.33
256x256 | GPU      | 0.000156000 | 213.17
256x256 | GPUsm    | 0.000237000 | 210.77
512x512 | CPU      | 0.044721000 | 5.78
512x512 | GPU      | 0.000228000 | 1166.87
512x512 | GPUsm    | 0.000203000 | 1186.84
1024x1024 | CPU      | 0.868472000 | 2.41
1024x1024 | GPU      | 0.001523000 | 1852.81
1024x1024 | GPUsm    | 0.000903000 | 2443.79
2048x2048 | CPU      | 10.476988000 | 1.65
2048x2048 | GPU      | 0.009031000 | 1838.93
2048x2048 | GPUsm    | 0.006840000 | 2507.66
4096x4096 | CPU      | 89.707939000 | 1.54
4096x4096 | GPU      | 0.073272000 | 1642.10
4096x4096 | GPUsm    | 0.051253000 | 2137.30
8192x8192 | GPU      | 0.597299000 | 2039.09
8192x8192 | GPUsm    | 0.472315000 | 2629.97
16384x16384 | GPU      | 4.413398000 | 1981.69
16384x16384 | GPUsm    | 3.368678000 | 2348.14
